,Words,Frequency
0,de,54997
1,i,44045
2,la,43296
3,que,42693
4,a,31938
5,el,27819
6,l,20701
7,en,20278
8,no,18472
9,d,18353
10,un,17797
11,per,15256
12,una,14510
13,les,14344
14,els,14151
15,amb,11703
16,del,10311
17,com,8984
18,al,8676
19,s,8584
20,més,7705
21,es,7596
22,va,7495
23,hi,6671
24,és,6334
25,tot,6063
26,li,5548
27,si,5415
28,era,5039
29,havia,4874
30,cap,4415
31,ha,4332
32,però,4319
33,se,4063
34,n,3990
35,dels,3938
36,y,3580
37,jo,3525
38,ja,3436
39,-,3324
40,m,3106
41,seva,3020
42,ell,2983
43,ho,2885
44,seu,2788
45,quan,2715
46,em,2605
47,vaig,2516
48,fer,2498
49,o,2485
50,ni,2418
51,què,2360
52,això,2354
53,tan,2233
54,fins,2232
55,lo,2189
56,aquest,2175
57,dir,2167
58,tots,2153
59,després,2140
60,aquell,2130
61,sense,2085
62,us,2033
63,perquè,1989
64,aquesta,1975
65,senyor,1902
66,cosa,1880
67,ara,1868
68,tant,1850
69,bé,1839
70,sa,1837
71,qui,1815
72,ens,1782
73,on,1771
74,casa,1771
75,ella,1749
76,pas,1732
77,son,1724
78,veure,1715
79,tota,1686
80,molt,1676
81,encara,1654
82,home,1641
83,als,1614
84,aquella,1609
85,dia,1587
86,ben,1575
87,sobre,1535
88,entre,1534
89,fa,1532
90,gran,1525
91,mai,1520
92,he,1520
93,res,1484
94,fet,1467
95,així,1453
96,altre,1425
97,pel,1423
98,mateix,1420
99,temps,1418
100,altres,1413
101,tenia,1385
102,ulls,1380
103,meu,1363
104,sempre,1356
105,altra,1335
106,aquí,1322
107,dos,1320
108,digué,1300
109,damunt,1264
110,són,1255
111,me,1242
112,feia,1216
113,déu,1215
114,cada,1200
115,terra,1165
116,veu,1158
117,nit,1143
118,meva,1143
119,sol,1136
120,vida,1110
121,ab,1108
122,eren,1100
123,estava,1079
124,anar,1074
125,t,1063
126,cor,1057
127,té,1052
128,han,1029
129,mig,1017
130,també,1003
131,diu,1000
132,totes,995
133,sinó,991
134,havien,987
135,tres,985
136,dins,984
137,davant,975
138,coses,973
139,anava,968
140,van,963
141,estat,953
142,bon,948
143,manera,941
144,tu,918
145,aigua,916
146,mal,911
147,sos,908
148,poc,906
149,mi,894
150,-no,884
151,ser,883
152,aleshores,874
153,gent,874
154,seus,871
155,bona,862
156,sota,860
157,pare,860
158,prou,848
159,senyora,842
160,uns,840
161,ésser,832
162,sí,831
163,ells,829
164,qual,827
165,hauria,825
166,hora,825
167,cop,822
168,ses,817
169,doncs,813
