,Words,Frequency
0,不,749570
1,一,592718
2,之,588219
3,人,537371
4,了,477242
5,道,413699
6,是,388726
7,有,378398
8,的,370865
9,來,344912
10,子,298291
11,也,290128
12,以,278704
13,他,260567
14,我,259964
15,大,251754
16,得,244352
17,為,241111
18,而,236205
19,上,235896
20,說,233926
21,在,222385
22,去,212474
23,下,210131
24,其,210064
25,見,201533
26,個,195892
27,這,188305
28,此,184593
29,中,180669
30,你,177183
31,日,166980
32,家,163208
33,者,163070
34,曰,162902
35,出,161309
36,又,160680
37,二,156310
38,知,155804
39,無,155444
40,如,154296
41,天,152700
42,到,152388
43,事,151730
44,三,149471
45,那,148530
46,十,142947
47,自,141286
48,生,139372
49,可,135680
50,時,134140
51,小,131077
52,公,128904
53,著,127421
54,將,126691
55,於,125700
56,何,124849
57,與,123315
58,王,120621
59,所,120374
60,要,119796
61,就,116053
62,年,115409
63,好,115129
64,老,111947
65,只,110496
66,心,110438
67,後,108804
68,然,103692
69,今,103650
70,行,103618
71,便,103513
72,看,100354
73,兩,100327
74,前,100233
75,相,97049
76,回,96346
77,門,95725
78,過,95445
79,言,92953
80,至,92599
81,太,92344
82,起,90300
83,官,87876
84,已,87872
85,頭,87107
86,明,85453
87,夫,83987
88,四,83018
89,山,82135
90,正,81033
91,兒,80505
92,裡,79890
93,多,79676
94,五,78493
95,問,77228
96,同,77092
97,當,77055
98,使,76866
99,能,76394
100,則,75782
101,還,75661
102,面,75466
103,先,74395
104,都,74062
105,月,73932
106,地,73176
107,身,72703
108,方,72288
109,聽,71892
110,書,71621
111,名,71030
112,等,70240
113,若,69806
114,故,69193
115,未,69129
116,把,69084
117,進,68909
118,文,67850
119,馬,67308
120,用,67084
121,外,66671
122,西,65765
123,州,65739
124,兵,65558
125,從,65062
126,叫,64729
127,女,63922
128,入,63867
129,安,63775
130,分,63335
131,們,63195
132,成,62845
133,因,62191
134,軍,61973
135,金,61900
136,死,61628
137,手,60850
138,意,60750
139,國,60347
140,亦,59911
141,東,59807
142,走,59075
143,百,58350
144,主,58148
145,作,58136
146,乃,57754
147,君,57291
148,處,56478
149,必,56374
150,麼,56235
151,命,56209
152,即,56082
153,才,55546
154,請,55424
155,做,54476
156,聲,54340
157,且,54325
158,甚,54087
159,水,53841
160,南,53488
161,內,53471
162,話,53193
163,臣,52535
164,爺,52528
165,士,52406
166,打,52360
167,卻,52327
168,眾,52283
169,非,52225
170,長,51651
171,令,51425
172,本,50989
173,白,50800
174,花,50693
175,矣,50508
176,皆,50504
177,張,50368
178,想,49293
179,開,49205
180,定,48987
181,親,48317
182,再,48109
183,聞,47692
184,及,47351
185,李,46800
186,路,46631
187,笑,46568
188,沒,46474
189,玉,46465
190,萬,45984
191,少,45805
192,口,45733
193,六,45497
194,幾,45468
195,往,45457
196,高,45378
197,師,45326
198,坐,45036
199,情,44441
200,酒,44380
201,些,44333
202,城,44118
203,弟,44031
204,數,43808
205,法,43633
206,平,43549
207,間,43473
208,欲,42974
209,父,42888
210,-,42653
211,風,42619
212,會,42541
213,里,42466
214,真,42298
215,氣,42276
216,住,42143
217,娘,41908
218,取,41902
219,八,41697
220,世,41652
221,和,41363
222,千,41040
223,罷,40947
224,府,40250
225,雲,40032
226,錢,39930
227,位,39889
228,應,39821
229,朝,39659
230,神,39609
231,難,39470
232,姐,39384
233,學,39268
234,立,39251
235,兄,39047
236,氏,38996
237,邊,38983
238,對,38818
239,字,38454
240,黃,38329
241,房,38317
242,七,38252
243,各,38060
244,雖,37866
245,民,37842
246,遂,37789
247,發,37736
248,謂,37709
249,江,37698
250,元,37672
251,敢,37418
252,于,37351
253,既,37122
254,諸,37111
255,向,36850
256,母,36493
257,禮,36480
258,喜,36128
259,尚,36059
260,夜,36051
261,信,36048
262,北,35995
263,德,35993
264,送,35741
265,石,35666
266,教,35198
267,吃,35156
268,九,35087
269,宗,34937
270,原,34846
271,吾,34722
272,歸,34532
273,守,34519
274,重,34465
275,連,34448
276,理,34371
277,詩,34136
278,縣,33933
279,望,33916
280,怎,33830
281,通,33768
282,武,33700
283,別,33495
284,常,33473
285,第,33158
286,齊,33023
287,盡,32941
288,被,32794
289,實,32667
290,寶,32542
291,婦,32426
292,殺,32332
293,己,32067
294,合,32067
295,但,32036
296,經,32006
297,早,31965
298,司,31800
299,龍,31779
300,物,31731
301,直,31710
302,放,31510
303,求,31316
304,香,31258
305,報,31167
306,並,31056
307,帝,31002
308,半,30993
309,光,30989
310,餘,30982
311,春,30967
312,乎,30911
313,拿,30607
314,衣,30321
315,許,30253
316,帶,30198
317,思,29797
318,首,29673
319,清,29638
320,銀,29340
321,動,29186
322,拜,28955
323,倒,28947
324,待,28793
325,差,28777
326,次,28746
327,陽,28717
328,隨,28644
329,告,28244
330,色,28192
331,忙,28099
332,受,28090
333,堂,28077
334,足,27995
335,周,27909
336,海,27845
337,點,27826
338,計,27639
339,或,27594
340,曾,27550
341,居,27370
342,解,27279
343,云,27226
344,客,27038
345,林,26952
346,傳,26872
347,義,26860
348,善,26692
349,忽,26660
350,功,26417
351,復,26378
352,郎,26360
353,古,26276
354,領,26150
355,莫,26062
356,更,26025
357,初,25996
358,姓,25956
359,京,25931
360,史,25919
361,力,25708
362,遠,25697
363,新,25421
364,興,25417
365,急,25400
366,轉,25329
367,舉,25300
368,交,25236
369,流,25209
370,侯,25208
371,樣,25168
372,青,25071
373,留,25058
374,關,25014
375,樂,24983
376,陳,24977
377,果,24952
378,歲,24819
379,卿,24710
380,裏,24597
381,施,24596
382,服,24570
383,語,24506
384,左,24445
385,卷,24438
386,河,24192
387,賢,24190
388,管,24162
389,孫,24079
390,眼,24026
391,飛,24005
392,漢,23956
393,全,23728
394,罪,23566
395,接,23543
396,劉,23472
397,收,23334
398,奉,23331
399,觀,23181
400,船,23158
401,失,23107
402,食,23010
403,賊,22962
404,誰,22837
405,秋,22835
406,火,22699
407,覺,22689
408,豈,22587
409,紅,22584
410,聖,22525
411,右,22513
412,仙,22498
413,吳,22492
414,耳,22428
415,部,22333
416,哥,22322
417,給,22278
418,句,21890
419,近,21769
420,由,21718
421,空,21667
422,后,21627
423,久,21611
424,竟,21556
425,病,21514
426,落,21496
427,深,21452
428,勝,21406
429,宮,21372
430,謝,21346
431,亂,21334
432,制,21328
433,利,21278
434,稱,21209
435,節,21209
436,封,21200
437,任,21119
438,尋,21074
439,目,21048
440,論,21016
441,治,21016
442,貴,20993
443,性,20975
444,細,20939
445,愛,20873
446,候,20851
447,須,20780
448,總,20706
449,議,20670
450,姑,20648
451,恐,20545
452,皇,20513
453,呢,20507
454,恩,20491
455,度,20489
456,備,20450
457,驚,20349
458,怕,20313
459,答,20254
460,戰,20249
461,奏,20234
462,肯,20193
463,祖,20170
464,保,20134
465,妻,20085
466,容,20068
467,鬼,20008
468,趙,19937
469,焉,19933
470,指,19888
471,易,19827
472,院,19659
473,反,19649
474,苦,19648
475,遇,19621
476,侍,19615
477,秦,19432
478,快,19381
479,美,19333
480,加,19311
481,終,19254
482,似,19141
483,滿,19091
484,仁,18970
485,止,18958
486,化,18949
487,始,18946
488,提,18859
489,舊,18818
490,俱,18737
491,引,18652
492,惡,18475
493,虎,18460
494,害,18459
495,伯,18423
496,忠,18423
497,唐,18359
498,珠,18348
499,詔,18313
500,楊,18248
501,殿,18236
502,什,18190
503,樓,18171
504,凡,17894
505,異,17793
506,田,17677
507,宋,17644
508,強,17594
509,辭,17539
510,致,17529
511,晚,17518
512,木,17460
513,暗,17440
514,代,17423
515,良,17420
516,依,17390
517,商,17362
518,每,17354
519,車,17350
520,絕,17294
521,步,17167
522,宜,17148
523,婆,17135
524,政,17029
525,破,17009
526,惟,17005
527,畢,16977
528,照,16938
529,寫,16919
530,般,16911
531,星,16878
532,改,16793
533,願,16749
534,雙,16743
535,輕,16721
536,土,16697
537,置,16692
538,章,16690
539,退,16644
540,刻,16644
541,怪,16612
542,胡,16604
543,救,16555
544,台,16474
545,疑,16380
546,極,16366
547,飲,16306
548,草,16303
549,妹,16301
550,景,16255
551,念,16247
552,廣,16219
553,獨,16193
554,余,16175
555,幸,16135
556,變,16113
557,比,16097
558,陰,16030
559,登,15997
560,卒,15948
561,雨,15937
562,刀,15931
563,英,15908
564,怒,15880
565,僧,15868
566,孝,15825
567,夢,15814
568,番,15796
569,華,15783
570,志,15672
571,算,15658
572,哭,15639
573,奇,15617
574,素,15607
575,汝,15568
576,曉,15532
577,精,15531
578,友,15475
579,修,15441
580,叔,15402
581,遣,15353
582,猶,15343
583,迎,15308
584,賈,15297
585,鳳,15273
586,呼,15246
587,約,15190
588,飯,15185
589,福,15165
590,員,15124
591,表,15013
592,散,15000
593,尊,14974
594,件,14963
595,鄉,14875
596,號,14846
597,爾,14846
598,免,14802
599,羅,14790
600,記,14765
601,哉,14647
602,犯,14627
603,亡,14606
604,斷,14562
605,省,14544
606,吏,14537
607,息,14463
608,營,14323
609,除,14300
610,推,14275
611,彼,14252
612,傷,14251
613,招,14233
614,視,14169
615,離,14166
616,蓋,14149
617,監,14142
618,楚,14117
619,雄,14062
620,趕,14044
621,結,14014
622,富,13941
623,顧,13941
624,嘗,13900
625,丈,13863
626,體,13853
627,賜,13832
628,乘,13808
629,歡,13787
630,承,13768
631,慶,13759
632,臨,13754
633,廟,13749
634,朱,13701
635,戶,13622
636,仍,13615
637,順,13593
638,完,13585
639,執,13543
640,共,13534
641,買,13529
642,養,13471
643,跟,13465
644,複,13463
645,認,13462
646,條,13457
647,識,13449
648,茶,13425
649,靈,13417
650,降,13408
651,建,13406
652,甲,13372
653,勢,13276
654,宣,13181
655,梁,13082
656,敬,13036
657,端,13021
658,睡,13002
659,徐,12997
660,私,12979
661,現,12979
662,越,12959
663,店,12957
664,徒,12952
665,休,12915
666,賞,12863
667,舍,12806
668,室,12801
669,工,12753
670,場,12741
671,秀,12739
672,奶,12730
673,魏,12723
674,旨,12720
675,孔,12648
676,旁,12626
677,莊,12584
678,替,12580
679,謀,12574
680,圖,12552
681,懷,12530
682,丁,12505
683,辦,12489
684,召,12427
685,阿,12425
686,音,12345
687,虛,12344
688,腳,12327
689,期,12322
690,微,12318
691,为,12305
692,形,12279
693,假,12262
694,撫,12245
695,該,12196
696,伏,12195
697,密,12170
698,集,12165
699,講,12149
700,益,12143
701,消,12129
702,屋,12112
703,參,12105
704,緣,12081
705,郡,12038
706,湖,12011
707,陣,12008
708,設,11978
709,量,11965
710,御,11961
711,敗,11953
712,夏,11948
713,与,11942
714,權,11902
715,穿,11889
716,藏,11826
717,祇,11825
718,試,11809
719,班,11807
720,男,11789
721,盜,11759
722,追,11732
723,某,11682
724,升,11670
725,奴,11655
726,藥,11601
727,讀,11564
728,廷,11533
729,奔,11504
730,畫,11500
731,鼓,11456
732,包,11439
733,特,11437
734,黑,11430
735,切,11429
736,職,11428
737,鐵,11412
738,感,11409
739,童,11407
740,曲,11407
741,刑,11376
742,佛,11367
743,緊,11354
744,寺,11342
745,席,11316
746,煙,11303
747,布,11303
748,寒,11253
749,賣,11252
750,勿,11249
751,存,11236
752,屬,11233
753,恨,11227
754,禁,11211
755,曹,11184
756,霸,11184
757,投,11182
758,案,11175
759,衙,11168
760,燈,11158
761,厚,11144
762,略,11130
763,咐,11124
764,固,11071
765,雪,11063
766,妾,11049
767,樹,11000
768,業,10991
769,乾,10949
770,況,10948
771,鎮,10935
772,寧,10921
773,姊,10920
774,閣,10913
775,調,10885
776,持,10881
777,壽,10877
778,造,10873
779,韓,10853
780,蘇,10846
781,勸,10843
782,題,10835
783,儿,10834
784,鄭,10785
785,蘭,10785
786,末,10784
787,仲,10777
788,談,10748
789,底,10709
790,宿,10660
791,靜,10624
792,兼,10577
793,陵,10571
794,奈,10561
795,吉,10537
796,最,10527
797,弄,10505
798,紀,10490
799,活,10485
800,遷,10457
801,單,10452
802,攻,10446
803,討,10438
804,背,10430
805,詞,10425
806,隱,10419
807,吩,10418
808,園,10363
809,列,10331
810,申,10318
811,梅,10300
812,敵,10300
813,盛,10296
814,永,10280
815,器,10280
816,衛,10256
817,村,10250
818,料,10247
819,威,10246
820,杯,10204
821,獻,10187
822,騎,10183
823,延,10171
824,牛,10160
825,柳,10156
826,察,10150
827,盤,10132
828,晉,10132
829,筆,10110
830,館,10107
831,漸,10090
832,媽,10085
833,借,10053
834,副,10045
835,洞,10033
836,遍,10020
837,費,10010
838,種,9990
839,按,9990
840,狀,9961
841,妙,9933
842,財,9929
843,蒙,9879
844,勞,9859
845,玄,9841
846,群,9825
847,爭,9797
848,紫,9780
849,具,9746
850,逃,9723
851,喝,9697
852,来,9694
853,讓,9679
854,機,9673
855,丞,9653
856,運,9649
857,誠,9625
858,訪,9623
859,像,9598
860,忘,9590
861,芳,9583
862,臺,9583
863,燕,9565
864,丹,9532
