,Words,Frequency
0,og,162886
1,i,96622
2,at,77533
3,det,75746
4,til,60748
5,han,60570
6,en,59713
7,de,55203
8,den,55174
9,jeg,52733
10,var,48364
11,af,45801
12,der,45063
13,er,44631
14,som,43996
15,med,43639
16,ikke,41721
17,for,39327
18,paa,38922
19,saa,32405
20,sig,31017
21,hun,30036
22,men,30004
23,--,27655
24,et,26088
25,havde,25160
26,om,24924
27,mig,22280
28,har,21053
29,ham,20933
30,da,20913
31,ved,19813
32,du,17614
33,fra,17512
34,sagde,17404
35,dem,16621
36,hans,16105
37,vi,13730
38,over,13630
39,nu,13603
40,skal,13045
41,sin,13013
42,blev,11722
43,ud,11322
44,man,11259
45,op,11015
46,min,10849
47,kunde,10621
48,kan,10377
49,kom,10166
50,efter,10123
51,hvad,10101
52,deres,9486
53,alle,9308
54,hvor,9148
55,vil,8978
56,hende,8744
57,gik,8615
58,være,8583
59,ind,8526
60,vilde,8269
61,dig,8253
62,på,7935
63,jo,7812
64,eller,7610
65,naar,7238
66,skulde,7214
67,selv,7207
68,så,7058
69,noget,6987
70,hendes,6845
71,ja,6498
72,ned,6449
73,denne,6444
74,dog,6370
75,ogsaa,6145
76,have,6112
77,mod,6077
78,os,6069
79,end,6006
80,her,5844
81,kun,5829
82,se,5731
83,sit,5704
84,alt,5518
85,meget,5475
86,thi,5440
87,dette,5415
88,under,5390
89,hele,5186
90,herren,5107
91,ingen,4980
92,sine,4878
93,hen,4825
94,stod,4690
95,din,4623
96,gud,4593
97,to,4580
98,dag,4512
99,uden,4425
100,endnu,4382
101,mand,4366
102,mere,4300
103,anden,4269
104,lidt,4261
105,maa,4247
106,gamle,4218
107,mit,4196
108,tilbage,4096
109,frem,4080
110,hvis,4009
111,nok,3992
112,tog,3991
113,lille,3986
114,været,3968
115,blive,3965
116,gang,3901
117,tid,3891
118,store,3828
119,fik,3769
120,kommer,3743
121,hos,3638
122,samme,3629
123,vel,3606
124,andre,3566
125,komme,3560
126,godt,3548
127,maatte,3515
128,ord,3440
129,siger,3424
130,sige,3423
131,lige,3345
132,sad,3328
133,nogen,3301
134,aldrig,3295
135,disse,3270
136,siden,3231
137,mine,3222
138,ganske,3214
139,sammen,3206
140,eder,3170
141,imod,3061
142,igen,3028
143,mange,3011
144,folk,2965
145,før,2962
146,første,2957
