,Words,Frequency,%
0,the,222509889,6.591242150423497
1,and,107372345,3.180609766758787
2,that,38789698,1.1490378859512083
3,was,35105277,1.0398970693149396
4,his,28652772,0.8487593939381012
5,with,26080014,0.772548529564162
6,for,25307601,0.7496679234660885
7,had,20145476,0.5967541988731339
8,you,19894102,0.5893079369934178
9,not,18751232,0.5554535633729515
10,but,18187859,0.5387651910911669
11,which,16255744,0.4815316097672129
12,her,16125531,0.477674408552515
13,this,15193369,0.45006167865077534
14,from,15009368,0.444611156193681
15,have,14615900,0.4329557512222515
16,they,14411460,0.4268997797268337
17,she,13379275,0.396324144146723
18,all,12669304,0.3752932101877459
19,him,12207598,0.36161644255292213
20,were,12199579,0.3613789017809511
21,are,11735545,0.347633173562869
22,one,10924663,0.323613029373144
23,their,10446683,0.3094541893448726
24,there,9426184,0.2792247193042623
25,who,8590553,0.2544714542060062
26,when,8506518,0.2519821489593938
27,been,8445699,0.25018055372177
28,them,8412964,0.2492108695753089
29,said,8125522,0.24069619261098743
30,would,8018267,0.23751905886641184
31,will,7353376,0.21782349565197318
32,what,7101560,0.21036414074055598
33,more,6463101,0.1914515526707411
34,out,6455464,0.19122532759585112
35,into,5999191,0.17770949761087376
36,then,5988567,0.17739479089414847
37,has,5933742,0.17577075138506865
38,some,5731074,0.16976727050542995
39,its,5386360,0.15955606840177386
40,man,5352545,0.1585543922321517
41,now,5305393,0.15715764419873388
42,very,5232062,0.15498541544834019
43,could,5220375,0.15463922028659619
44,time,5204754,0.15417649121826354
45,our,5103910,0.15118926567784136
46,than,5059067,0.14986091540505217
47,other,4985645,0.14768599103048474
48,upon,4821298,0.1428176641504347
49,about,4804594,0.14232285419221
50,only,4791723,0.14194158629396345
51,your,4777545,0.14152160212324327
52,any,4693516,0.1390324746100929
53,can,4536523,0.1343819897099749
54,these,4505541,0.13346423335666324
55,little,4478728,0.13266997213720208
56,may,4466685,0.13231323145671237
57,two,4381424,0.12978760933936342
58,see,4267153,0.12640264593321549
59,like,4221020,0.125036082966095
60,great,4182767,0.12390294327907574
61,after,4157060,0.12314144426111102
62,made,4151329,0.12297167918265163
63,did,4048592,0.11992837873496655
64,such,3994553,0.11832762230940949
65,before,3973303,0.11769814963147157
66,should,3879056,0.11490634203252498
67,over,3804458,0.11269658189940437
68,first,3797366,0.11248650094731329
69,well,3629270,0.10750712027575315
