,Words,Frequency
0,la,202035
1,kaj,88609
2,de,74066
3,mi,65062
4,al,42124
5,en,41848
6,ne,40563
7,li,40294
8,estas,34897
9,vi,32907
10,ke,29451
11,por,21365
12,sed,20108
13,estis,19130
14,--,17832
15,kun,15531
16,ni,14954
17,kiu,14575
18,ili,13848
19,ŝi,13765
20,kiel,13172
21,sur,13100
22,pri,12998
23,tiu,12196
24,per,11993
25,el,11648
26,ĉi,11423
27,mia,10682
28,ĉu,10465
29,the,10225
30,ĝi,10215
31,pli,10121
32,tio,9428
33,oni,9268
34,kiam,9081
35,min,8769
36,nur,8364
37,tiel,8169
38,nun,8167
39,da,7955
40,se,7920
41,diris,7594
42,unu,7563
43,lin,7467
44,ĉar,7057
45,l,6805
46,ĝin,6610
47,aŭ,6551
48,sin,6545
49,povas,6491
50,jam,6298
51,tre,6196
52,plej,5979
53,post,5829
54,tie,5800
55,ankaŭ,5733
56,lia,5701
57,vin,5605
58,kiuj,5559
59,sia,5545
60,ĉe,5529
61,pro,5477
62,je,5476
63,tion,5444
64,ĉiuj,5368
65,—,5257
66,do,5118
67,a,5100
68,sian,5073
69,antaŭ,5068
70,dum,5031
71,of,5018
72,jes,5017
73,via,4903
74,ja,4899
75,tute,4852
76,kion,4813
77,ol,4798
78,sinjoro,4477
79,ho,4328
80,kiun,4277
81,eĉ,4274
82,devas,4238
83,jen,4223
84,havas,4215
85,mem,4073
86,tiam,4067
87,kio,3960
88,ankoraŭ,3943
89,tiun,3931
90,to,3925
91,tamen,3886
92,ilin,3848
93,du,3815
94,ĝis,3807
95,mian,3771
96,bone,3760
97,eble,3696
98,tiuj,3686
99,esperanto,3598
100,scias,3425
101,tuj,3388
102,and,3374
103,nia,3323
104,volas,3256
105,ĉiam,3194
106,iom,3188
107,granda,3159
108,estus,3135
109,kie,3122
110,sinjorino,3114
111,in,3105
112,neniam,3103
113,esti,3101
114,laŭ,2995
115,estos,2925
116,kvazaŭ,2860
117,inter,2840
118,multe,2823
119,tempo,2810
120,ŝin,2793
121,nu,2756
122,povis,2743
123,alia,2734
124,poste,2695
125,vidis,2625
126,ĉiu,2577
127,lingvo,2502
128,ŝia,2371
129,faris,2344
130,dio,2320
131,tuta,2252
132,diras,2249
133,patro,2248
134,tra,2248
135,for,2247
136,sen,2214
137,si,2205
138,vere,2201
139,homoj,2169
140,havis,2166
141,povus,2129
142,kontraŭ,2129
143,ĉio,2110
144,aliaj,2102
145,sub,2091
146,miaj,2090
147,certe,2089
148,nin,2065
149,respondis,2061
150,nek,2039
151,fari,2020
152,vian,1991
153,tia,1988
154,vivo,1972
155,tial,1954
156,siaj,1946
157,plu,1942
158,unua,1938
159,okuloj,1937
160,siajn,1932
161,fine,1930
162,bona,1928
163,kelkaj,1925
164,liaj,1915
165,lian,1868
166,reĝo,1861
167,i,1858
168,preskaŭ,1857
169,kial,1857
170,kiujn,1851
171,viro,1836
172,iu,1804
173,tro,1790
174,homo,1789
175,kara,1768
176,d,1762
177,is,1755
178,mondo,1741
179,doktoro,1716
180,longe,1711
181,tiom,1705
182,neniu,1704
183,afero,1696
184,venis,1694
185,apud,1685
186,denove,1665
187,baldaŭ,1656
188,multaj,1641
189,ofte,1632
190,tri,1608
191,ion,1565
192,e,1557
193,nenion,1552
194,vidas,1552
195,rigardis,1534
196,rapide,1518
197,demandis,1511
198,s,1507
199,estu,1495
200,ĉion,1489
201,bela,1488
202,jaroj,1477
203,diri,1449
204,kies,1442
205,pordo,1441
206,that,1437
207,momento,1434
208,koro,1428
209,subite,1418
210,niaj,1410
211,ĉiujn,1393
212,kvankam,1366
213,patrino,1365
214,sola,1359
215,komencis,1358
216,domo,1357
217,antaŭe,1347
218,kia,1336
219,trovis,1335
220,povos,1333
221,be,1323
222,by,1321
223,ajn,1315
224,fraŭlino,1312
225,kiom,1303
226,sufiĉe,1297
227,tutan,1289
228,juna,1286
229,kapon,1282
230,ia,1280
231,staris,1274
232,tago,1273
233,volis,1272
234,super,1271
235,vidi,1268
236,tien,1254
237,venas,1253
238,ŝajnis,1242
239,aŭdis,1242
240,ambaŭ,1239
241,urbo,1239
242,fariĝis,1239
243,virino,1237
244,deziras,1230
245,alian,1222
246,kune,1212
247,voĉo,1208
248,vizaĝo,1197
249,grandan,1191
250,ĉirkaŭ,1190
251,devis,1183
252,vortoj,1181
253,iam,1170
254,p,1161
255,mano,1155
256,io,1154
257,it,1146
258,cxi,1116
259,iris,1108
260,t,1107
261,s-ro,1106
262,ĝia,1103
263,hodiaŭ,1097
264,tero,1081
265,amiko,1076
266,okazis,1074
267,manon,1071
268,morto,1070
269,parolis,1070
270,c,1070
271,kapo,1069
272,rigardas,1065
273,as,1064
274,sama,1062
275,faras,1062
276,donis,1061
277,kelkajn,1058
278,nova,1050
279,ilia,1049
280,tagon,1040
281,iras,1036
282,diru,1030
283,same,1028
284,tiujn,1028
285,ĉambro,1017
286,pensas,1016
287,will,1014
288,amo,1013
289,staras,1012
290,malgranda,1007
291,okulojn,998
292,viaj,984
293,pensis,984
294,princo,973
295,ŝajnas,972
296,kompreneble,966
297,krom,966
298,loko,965
299,efektive,958
300,zamenhof,953
301,sciis,951
302,k,949
303,restis,948
304,miajn,947
305,maljuna,944
306,longa,937
307,internacia,934
308,filo,932
309,bonan,932
310,edzino,931
311,tagoj,927
312,konas,922
313,moŝto,920
314,paroli,920
315,nenio,903
316,infano,896
317,lando,896
318,amikoj,895
319,m,893
320,komprenas,892
321,solness,890
322,ĵus,890
323,dua,889
324,we,887
325,vojo,887
326,kredas,883
327,nomo,879
328,sentis,874
329,ĝuste,870
330,fojon,869
331,petas,864
332,manoj,861
333,lasta,854
334,have,848
335,n,847
336,horo,843
337,jaro,837
338,ekkriis,834
339,ree,830
340,this,828
341,nian,823
342,-,821
343,tian,817
344,viroj,816
345,an,814
346,hedda,813
347,almenaŭ,808
348,nokto,807
349,w,804
350,on,802
351,animo,802
352,alvenis,801
353,ricevis,799
354,knabo,798
355,eniris,790
356,--mi,789
357,ŝiaj,787
358,hilde,786
359,amas,783
360,j,779
361,vivon,777
362,bezonas,776
363,maro,771
364,esperantistoj,770
365,facile,764
366,ekzistas,759
367,unue,757
368,iru,757
369,ĉielo,756
370,all,753
371,kvar,752
372,tablo,752
373,prenis,751
374,manojn,750
375,dek,747
376,are,746
377,sidis,746
378,tiaj,744
379,at,743
380,parolas,742
381,forte,739
382,ha,737
383,with,733
384,ŝian,733
385,montris,731
386,plena,727
387,borkman,724
388,nora,720
389,terura,720
390,precipe,715
391,iliaj,715
392,tempon,712
393,ian,710
394,suno,708
395,propra,705
396,kvin,704
397,vera,704
398,vizaĝon,703
399,malpli,697
400,aferoj,695
401,h,694
402,vortojn,694
403,apenaŭ,692
404,not,690
405,faros,688
406,lingvon,688
407,infanoj,686
408,venos,684
409,diversaj,682
410,iri,682
411,caro,679
412,bernick,679
413,vorto,678
414,sole,677
415,grandaj,677
416,revenis,674
417,stockmann,673
418,ci,673
419,devus,668
420,opinias,666
421,kongreso,664
422,flanko,662
423,vojon,660
424,forta,658
425,london,658
426,personoj,657
427,nepre,657
428,trovas,655
429,falis,652
430,aperis,649
431,our,644
432,metis,642
433,he,642
434,multajn,639
435,which,630
436,venu,629
437,knabino,628
438,havi,626
439,sxi,626
440,sekve,625
441,stranga,624
442,restas,623
443,doni,623
444,akvo,623
445,sendube,622
446,feliĉa,622
447,fino,620
448,donas,620
449,vidu,615
450,malrapide,615
451,d-ro,614
452,rita,611
453,stensgård,610
454,o,609
455,antaŭen,607
456,was,607
457,koron,605
458,from,602
459,ekvidis,599
460,samtempe,597
461,laboro,594
462,ĉambron,593
463,iun,593
464,nomon,590
465,kuŝis,588
466,hamleto,587
467,but,586
468,mortis,585
469,skule,583
