,Words,Frequency
0,de,29090
1,la,16194
2,le,14507
3,et,12025
4,à,11854
5,il,11223
6,l,10190
7,un,8517
8,les,8124
9,que,7617
10,d,7296
11,en,6318
12,une,5523
13,qui,5393
14,des,5018
15,du,5006
16,ne,4978
17,dans,4939
18,qu,4881
19,se,4806
20,ce,4710
21,je,4336
22,pas,3990
23,lui,3925
24,est,3912
25,pour,3865
26,son,3824
27,elle,3804
28,était,3668
29,au,3505
30,s,3484
31,n,3311
32,avait,3268
33,plus,3165
34,vous,3158
35,par,3037
36,sa,2799
37,on,2758
38,mais,2751
39,avec,2695
40,sur,2509
41,a,2438
42,cette,2413
43,si,2212
44,tout,2160
45,ses,2076
46,c,2011
47,bien,1912
48,julien,1907
49,m,1873
50,comme,1743
51,me,1613
52,j,1608
53,ą,1571
54,ces,1492
55,y,1431
56,fut,1396
57,dit,1390
58,fabrice,1368
59,mon,1223
60,homme,1181
61,faire,1172
62,deux,1167
63,sans,1165
64,fait,1128
65,ai,1047
66,aux,1044
67,être,1040
68,tous,1035
69,ou,1028
70,nous,1026
71,fort,959
72,peu,918
73,ils,908
74,après,864
75,moi,854
76,où,848
77,été,822
78,point,818
79,même,787
80,cyrano,783
81,jamais,752
82,duchesse,749
83,grand,730
84,ma,726
85,encore,723
86,quand,722
87,leur,714
88,cet,706
89,avoir,703
90,prince,702
91,fogg,683
92,yeux,681
93,dont,678
94,jeune,677
95,eût,669
96,heures,666
97,trois,664
98,votre,657
99,toute,649
100,comte,645
101,rênal,633
102,fois,630
103,mme,621
104,dire,621
105,jour,613
106,quelque,607
107,jours,603
108,rien,603
109,fit,595
110,air,591
111,aussi,589
112,autre,579
113,femme,576
114,moment,575
115,étaient,573
116,toutes,564
117,moins,560
118,quelques,558
119,vie,549
120,suis,549
121,tu,542
122,temps,536
123,voir,534
124,monde,524
125,faut,520
126,mille,517
127,enfin,514
128,donc,513
129,pendant,508
130,eut,500
131,non,496
132,depuis,495
133,sont,495
134,vers,483
135,sous,481
136,marquis,470
137,roxane,464
138,répondit,463
139,toujours,455
140,là,453
141,passepartout,447
142,dit-il,446
143,cent,442
144,trop,440
145,puis,429
146,peut,429
147,premier,423
148,cela,422
149,mort,418
150,porte,417
151,chez,415
152,mot,414
153,grande,414
154,jusqu,413
155,petit,412
156,ainsi,407
157,avant,406
158,pouvait,404
159,amour,403
160,alors,401
161,chambre,401
162,monsieur,400
163,instant,391
164,main,387
165,avaient,379
166,parler,377
167,petite,374
168,entre,372
169,lettre,371
170,mes,370
171,ans,368
172,chose,366
173,bonheur,366
174,assez,363
175,heure,361
176,mathilde,357
177,gens,355
178,idée,352
179,coup,351
180,leurs,346
181,voix,344
182,mole,343
183,cinq,342
184,donner,340
185,autres,339
186,presque,337
187,peut-être,334
188,tant,333
189,général,332
190,ici,332
191,hommes,330
192,âme,330
193,dieu,329
194,--je,329
195,beaucoup,328
196,serait,328
197,phileas,328
198,te,327
199,car,327
200,très,325
201,fille,324
202,peine,321
203,soir,319
204,notre,319
205,ni,318
206,esprit,316
207,maison,315
208,faisait,315
209,ton,314
210,prendre,312
211,bon,309
212,ville,309
213,huit,308
214,contre,308
215,pauvre,308
216,tête,305
217,quatre,305
218,christian,304
219,trouva,302
220,terre,301
221,six,301
222,nom,301
223,seul,300
224,ami,298
225,clélia,298
226,devant,296
227,mois,294
228,mr,294
229,pieds,288
230,ont,287
231,bras,286
232,fix,282
233,milieu,281
234,près,281
235,écria,280
236,disait,279
237,cour,279
238,francs,278
239,abbé,273
240,va,272
241,nuit,270
242,quoi,268
243,sera,267
244,eu,267
245,personne,266
246,vingt,264
247,dix,264
248,effet,263
249,matin,263
250,fils,262
251,vit,258
252,argent,258
253,parme,257
254,place,254
255,choses,254
256,ah,254
257,chaque,252
258,passer,249
259,barbicane,249
260,lieu,249
261,loin,245
262,père,245
263,prison,244
264,plusieurs,242
265,voilà,241
266,est-ce,241
267,trouvait,239
268,allait,239
269,cents,238
270,lune,238
271,palais,238
272,jules,236
273,cheval,235
274,venait,234
275,comment,234
276,aller,233
277,honneur,233
278,coeur,233
279,soit,233
280,maître,233
281,quelle,231
282,pays,231
283,bientôt,230
284,prit,228
285,devait,228
286,paris,228
287,lendemain,226
288,façon,223
289,quel,223
290,doute,222
291,avez,222
292,eux,222
293,peur,220
294,pu,215
295,souvent,215
296,seulement,213
297,voyait,212
298,mieux,212
299,vu,211
300,malheur,210
301,maintenant,209
302,route,208
303,larmes,208
304,bonne,207
305,livres,206
306,belle,205
307,voulait,205
308,surtout,204
309,lettres,204
310,mal,203
311,guiche,202
312,cependant,202
313,aurait,200
314,reprit,200
315,plaisir,200
316,première,199
317,ailleurs,198
318,furent,198
319,fût,197
320,marquise,196
321,mots,196
322,vos,195
323,déjà,195
324,dès,194
325,lorsque,194
326,trouver,192
327,tour,192
328,elles,192
329,grands,191
330,enfants,191
331,vais,191
332,mari,191
333,côté,190
334,oui,190
335,veux,190
336,abord,189
337,bois,189
338,raison,188
339,pourquoi,188
340,laquelle,188
341,beau,187
