,Words,Frequency
0,und,7656
1,die,4812
2,der,4286
3,sie,3347
4,in,2836
5,zu,2385
6,er,2063
7,den,2048
8,das,1905
9,von,1840
10,nicht,1780
11,mit,1772
12,sich,1711
13,ich,1663
14,es,1502
15,ein,1493
16,dem,1389
17,auch,1363
18,war,1338
19,daß,1328
20,so,1312
21,an,1191
22,auf,1154
23,aber,1149
24,als,984
25,wie,961
26,eine,939
27,ist,936
28,des,853
29,frau,846
30,im,799
31,ihr,785
32,nach,737
33,noch,724
34,hatte,709
35,aus,678
36,für,636
37,luther,635
38,s,611
39,bei,595
40,nur,556
41,sein,548
42,da,530
43,wenn,518
44,ange,515
45,einen,515
46,was,512
47,ihm,510
48,um,498
49,doch,476
50,seine,454
51,ihre,433
52,oder,428
53,wir,422
54,nun,421
55,ihn,415
56,käthe,409
57,durch,408
58,einem,401
59,hat,390
60,denn,385
61,ja,383
62,mir,382
63,haben,380
64,—,379
65,vor,376
66,man,375
67,waren,367
68,einer,354
69,über,351
70,am,349
71,diese,346
72,seiner,344
73,schon,340
74,wurde,336
75,wohl,320
76,du,313
77,ihrer,313
78,kinder,312
79,werden,312
80,ihnen,310
81,ihren,309
82,zum,307
83,wieder,306
84,teut,304
85,habe,303
86,dieser,302
87,luthers,300
88,mich,298
89,wird,286
90,f,281
91,dann,280
92,seinen,277
93,sagte,274
94,sind,273
95,mehr,272
96,alle,269
97,alles,268
98,einmal,259
99,selbst,257
100,zur,253
101,nichts,250
102,welche,248
103,kam,245
104,tibet,239
105,wittenberg,238
106,sei,236
107,seinem,227
108,iv,226
109,mußte,225
110,gegen,225
111,unter,225
112,herr,224
113,v,224
114,zeit,217
115,uns,216
116,mutter,216
117,jetzt,215
118,konnte,212
119,gar,211
120,vom,207
121,ihrem,207
122,wo,206
123,viel,205
124,wollte,205
125,sehr,205
126,meine,200
127,gott,198
128,t,194
129,d,193
130,mann,190
131,etwas,190
132,gut,186
133,-r,186
134,gräfin,185
135,ganz,184
136,ohne,183
137,katharina,180
138,hier,176
139,kloster,173
140,kann,171
141,keine,169
142,leben,169
143,werde,168
144,ob,167
145,bis,167
146,immer,167
147,ins,167
148,mein,166
149,stand,166
150,br,164
151,haus,162
152,diesem,158
153,iii,158
154,vater,153
155,diesen,151
156,u,150
157,will,149
158,lassen,146
159,zwei,145
160,herrn,145
161,hand,145
162,sah,145
163,liebe,144
164,m,143
165,hans,142
166,endlich,141
167,wurden,141
168,also,140
169,großen,138
170,sondern,137
171,l,136
172,weil,131
173,dazu,130
174,melanchthon,129
175,muß,129
176,eines,128
177,brief,128
178,recht,126
179,sprache,126
180,kindern,126
181,doktor,126
182,ging,126
183,hatten,123
184,ii,123
185,jahre,123
186,gab,123
187,ihres,122
188,kein,121
189,o,121
190,andere,120
191,wäre,120
192,gewesen,119
193,kleinen,119
194,welt,117
195,machen,117
196,bin,116
197,familie,116
198,a,116
199,-,115
200,oft,115
201,euch,115
202,vielleicht,114
203,kommen,114
204,würde,114
205,bora,114
206,fl,114
207,bald,113
208,hause,112
209,ließ,112
210,während,111
211,clairefort,110
212,dies,110
213,krieg,109
214,sollte,109
215,sonst,109
216,bitte,109
217,stadt,109
218,freunde,108
219,wollen,108
220,hätte,108
221,vi,108
222,rief,107
223,jonas,106
224,können,105
225,soll,105
226,freilich,104
227,menschen,103
228,dich,103
229,sagen,102
230,i,101
231,allein,100
232,kleine,99
233,vgl,99
234,augen,98
235,meiner,98
236,dir,98
237,machte,98
238,katharinas,98
239,sogar,98
240,fast,98
241,große,98
242,andern,97
243,später,96
244,nein,96
245,lieber,96
246,heute,95
247,allen,95
