,Words,Frequency
0,y,1147
1,que,901
2,de,763
3,la,530
4,a,485
5,el,463
6,en,429
7,no,343
8,por,283
9,con,281
10,me,254
11,lo,214
12,mi,198
13,yo,195
14,un,164
15,se,160
16,los,158
17,como,146
18,le,141
19,las,139
20,del,129
21,él,118
22,más,117
23,su,114
24,al,98
25,mas,92
26,había,89
27,porque,88
28,para,83
29,si,80
30,bien,79
31,amo,77
32,dios,76
33,muy,69
34,señor,67
35,mí,67
36,una,67
37,es,67
38,cual,59
39,era,58
40,pues,58
41,ni,58
42,ser,55
43,casa,55
44,tan,54
45,fue,54
46,tenía,52
47,día,52
48,sin,49
49,esto,49
50,qué,49
51,todo,47
52,estaba,47
53,aunque,45
54,este,45
55,aquel,44
56,ansí,42
57,allí,41
58,ella,39
59,tal,38
60,mis,37
61,ciego,37
62,o,37
63,cuando,37
64,poco,36
65,manera,36
66,gran,35
67,comer,35
68,hacer,34
69,te,34
70,mal,34
71,noche,33
72,ya,33
73,vino,33
74,así,33
75,otro,32
76,dos,32
77,mejor,31
78,sus,31
79,todos,31
80,entre,30
81,veces,29
82,tiempo,29
83,decir,29
84,pan,29
85,luego,29
86,nos,28
87,dijo,28
88,puerta,28
89,mucho,27
90,mano,27
91,tres,26
92,hecho,26
93,hombre,26
94,esta,26
95,después,26
96,lázaro,26
97,sobre,26
98,vida,25
99,dije,25
100,vi,25
101,cosas,24
102,nunca,24
103,otra,24
104,buen,24
105,hasta,24
106,sino,24
107,diciendo,24
108,he,24
109,aun,23
110,manos,23
111,ha,23
112,antes,22
113,días,22
114,tanto,21
115,alguacil,21
116,hambre,21
117,digo,21
118,cosa,21
119,quien,21
120,está,21
121,dél,20
122,aquí,20
123,aquella,20
124,hacía,20
125,también,20
126,lugar,20
127,boca,20
128,otras,20
129,mundo,20
130,buena,20
131,llave,20
132,cabo,19
133,verdad,19
134,decía,19
135,sí,18
136,della,18
137,nada,18
138,toda,18
139,según,18
140,ellos,18
141,muchas,18
142,eso,18
143,vuestra,17
144,hay,17
145,arca,17
146,iba,17
147,jarro,17
148,otros,17
149,donde,17
150,éste,17
151,fuese,17
152,agora,17
153,bula,17
154,dio,17
155,haber,16
156,parte,16
157,paso,16
158,algo,16
159,mozo,16
160,merced,16
161,yo-,16
162,pobre,15
163,calle,15
164,gente,15
165,mil,15
166,-dije,15
167,cómo,15
168,daba,15
169,cuenta,15
170,hoy,15
171,tomar,15
172,hizo,14
173,do,14
174,ver,14
175,os,14
176,alguna,14
177,habían,14
178,iglesia,14
179,les,14
180,díjome,13
181,tú,13
182,cuales,13
183,tierra,13
184,menos,13
185,fuera,13
186,triste,13
187,estaban,13
188,pienso,13
189,tener,13
190,adelante,13
191,traía,13
192,cabeza,13
193,ciudad,12
194,todas,12
195,cada,12
196,siempre,12
197,pensando,12
198,tanta,12
199,madre,12
200,estar,12
201,desta,12
202,saber,12
203,dar,12
204,nadie,12
205,desde,12
206,ellas,12
207,puesto,12
208,cruz,12
209,ir,12
210,ello,12
211,tiene,12
212,remedio,11
213,pecador,11
214,vieja,11
215,algún,11
216,voces,11
217,agua,11
218,hace,11
219,tengo,11
220,mañana,11
221,aquél,11
222,dentro,11
223,e,11
224,finalmente,11
225,eran,11
226,m,11
227,cuatro,11
228,muchos,11
229,unos,11
230,estando,11
231,mucha,11
232,ventura,11
233,longaniza,11
234,muerto,11
235,santa,10
236,viendo,10
237,visto,10
238,bulas,10
239,arcaz,10
240,uno,10
241,mujer,10
242,hombres,10
243,cama,10
244,par,10
245,sé,10
246,vivir,10
247,v,10
248,aquello,10
249,comido,10
250,diablo,10
251,estuve,10
252,comenzó,10
253,menester,10
254,grandes,9
255,alguno,9
256,daño,9
257,cuanto,9
258,pueblo,9
259,quiero,9
260,aquellos,9
261,cara,9
262,parecía,9
263,oración,9
264,fortuna,9
265,pie,9
266,dicho,9
267,dicen,9
268,año,9
269,sentido,9
270,ojos,9
271,quiso,9
272,ninguna,9
273,miedo,9
274,medio,9
275,casi,9
276,hice,9
277,escribano,9
278,venida,9
279,decían,9
280,debía,9
281,quería,9
282,culebra,9
283,vio,9
284,fe,8
285,suelen,8
286,milagro,8
287,presto,8
288,parece,8
289,capa,8
290,viejo,8
291,pasaba,8
292,acabado,8
293,todavía,8
294,oficio,8
295,tu,8
296,camino,8
297,carne,8
298,soy,8
299,púlpito,8
300,poner,8
301,tras,8
302,podía,8
303,negocio,8
304,priesa,8
305,echar,8
306,andaba,8
307,algunos,8
308,di,8
309,honra,8
310,siendo,8
311,quién,8
312,son,8
313,persona,8
314,ésta,8
315,vecinos,8
316,cielo,7
317,oh,7
318,adonde,7
319,vos,7
320,bueno,7
321,fui,7
322,demonio,7
323,puso,7
324,mochacho,7
325,contento,7
326,debajo,7
327,buenos,7
328,debe,7
329,sayo,7
330,pocos,7
331,solo,7
332,tratado,7
333,eres,7
334,falta,7
335,cierto,7
336,mala,7
